date,fips_code,state,county,living_wage,poverty_wage,minimum_wage,year
20160831213929,01025,Alabama,Clarke County,9.78,5.0,7.25,2016
20161203193059,01025,Alabama,Clarke County,9.78,5.0,7.25,2016
20170608150427,01025,Alabama,Clarke County,10.03,5.0,7.25,2017
20190715174420,01025,Alabama,Clarke County,10.72,5.84,7.25,2019
20201027043545,01025,Alabama,Clarke County,10.6,6.0,7.25,2020
20210122005857,01025,Alabama,Clarke County,10.6,6.0,7.25,2021
20210413015537,01025,Alabama,Clarke County,12.81,6.13,7.25,2021
20210801181104,01025,Alabama,Clarke County,12.81,6.13,7.25,2021
20211017224347,01025,Alabama,Clarke County,12.81,6.13,7.25,2021
20220122213921,01025,Alabama,Clarke County,12.81,6.13,7.25,2022
20130530044825,01027,Alabama,Clay County,8.11,5.21,7.25,2013
20150910134352,01027,Alabama,Clay County,9.67,5.0,7.25,2015
20160311154725,01027,Alabama,Clay County,9.67,5.0,7.25,2016
20160512100631,01027,Alabama,Clay County,9.67,5.0,7.25,2016
20160831200631,01027,Alabama,Clay County,9.68,5.0,7.25,2016
20161203170409,01027,Alabama,Clay County,9.68,5.0,7.25,2016
20170608152511,01027,Alabama,Clay County,9.84,5.0,7.25,2017
20190715174424,01027,Alabama,Clay County,10.92,5.84,7.25,2019
20200807044315,01027,Alabama,Clay County,10.88,6.0,7.25,2020
20201026223020,01027,Alabama,Clay County,10.88,6.0,7.25,2020
20210122011301,01027,Alabama,Clay County,10.88,6.0,7.25,2021
20210413021406,01027,Alabama,Clay County,12.87,6.13,7.25,2021
20210801182652,01027,Alabama,Clay County,12.87,6.13,7.25,2021
20211017225610,01027,Alabama,Clay County,12.87,6.13,7.25,2021
20220122215114,01027,Alabama,Clay County,12.87,6.13,7.25,2022
20130602045525,01029,Alabama,Cleburne County,8.14,5.21,7.25,2013
20150910085017,01029,Alabama,Cleburne County,9.79,5.0,7.25,2015
20160311154730,01029,Alabama,Cleburne County,9.79,5.0,7.25,2016
20160511121750,01029,Alabama,Cleburne County,9.79,5.0,7.25,2016
20160831162010,01029,Alabama,Cleburne County,10.1,5.0,7.25,2016
20161203161536,01029,Alabama,Cleburne County,10.1,5.0,7.25,2016
20170608134955,01029,Alabama,Cleburne County,10.04,5.0,7.25,2017
20190715174429,01029,Alabama,Cleburne County,10.65,5.84,7.25,2019
20200813210142,01029,Alabama,Cleburne County,10.47,6.0,7.25,2020
20201020182331,01029,Alabama,Cleburne County,10.47,6.0,7.25,2020
20210118084148,01029,Alabama,Cleburne County,10.47,6.0,7.25,2021
20210415090042,01029,Alabama,Cleburne County,12.72,6.13,7.25,2021
20210805055212,01029,Alabama,Cleburne County,12.72,6.13,7.25,2021
20211201231042,01029,Alabama,Cleburne County,12.72,6.13,7.25,2021
20130529091850,01031,Alabama,Coffee County,7.97,5.21,7.25,2013
20150223221702,01031,Alabama,Coffee County,7.97,5.21,7.25,2015
20150910084052,01031,Alabama,Coffee County,9.95,5.0,7.25,2015
20160831152256,01031,Alabama,Coffee County,9.89,5.0,7.25,2016
20161203152807,01031,Alabama,Coffee County,9.89,5.0,7.25,2016
20170608135000,01031,Alabama,Coffee County,9.98,5.0,7.25,2017
20180531204246,01031,Alabama,Coffee County,10.83,5.0,7.25,2018
20180719141053,01031,Alabama,Coffee County,10.83,5.0,7.25,2018
20180825055417,01031,Alabama,Coffee County,10.83,5.0,7.25,2018
20181005023922,01031,Alabama,Coffee County,10.83,5.0,7.25,2018
20181106074505,01031,Alabama,Coffee County,10.83,5.0,7.25,2018
20181207152152,01031,Alabama,Coffee County,10.83,5.8,7.25,2018
20190122073502,01031,Alabama,Coffee County,10.83,5.8,7.25,2019
20190226235542,01031,Alabama,Coffee County,10.99,5.84,7.25,2019
20190422012029,01031,Alabama,Coffee County,10.99,5.84,7.25,2019
20190603174222,01031,Alabama,Coffee County,10.99,5.84,7.25,2019
20190705222413,01031,Alabama,Coffee County,10.99,5.84,7.25,2019
20190818054839,01031,Alabama,Coffee County,10.99,5.84,7.25,2019
20201027044330,01031,Alabama,Coffee County,11.01,6.0,7.25,2020
