datetime,fips_code,state,county,living_wage,poverty_wage,minimum_wage,year
20160311155453,01077,Alabama,Lauderdale County,10.17,5.0,7.25,2016
20170608150433,01077,Alabama,Lauderdale County,10.09,5.0,7.25,2017
20190715174758,01077,Alabama,Lauderdale County,11.0,5.84,7.25,2019
20200804004517,01077,Alabama,Lauderdale County,10.85,6.0,7.25,2020
20210122003634,01077,Alabama,Lauderdale County,10.85,6.0,7.25,2021
20220122211202,01077,Alabama,Lauderdale County,12.98,6.13,7.25,2022
20130530015840,01079,Alabama,Lawrence County,8.27,5.21,7.25,2013
20150910135836,01079,Alabama,Lawrence County,9.63,5.0,7.25,2015
20160311155500,01079,Alabama,Lawrence County,9.63,5.0,7.25,2016
20170608140037,01079,Alabama,Lawrence County,9.83,5.0,7.25,2017
20190715174804,01079,Alabama,Lawrence County,10.46,5.84,7.25,2019
20201022185940,01079,Alabama,Lawrence County,10.31,6.0,7.25,2020
20210124070454,01079,Alabama,Lawrence County,10.31,6.0,7.25,2021
20220127061003,01079,Alabama,Lawrence County,12.85,6.13,7.25,2022
20121130072903,01081,Alabama,Lee County,7.93,5.21,7.25,2012
20130602092151,01081,Alabama,Lee County,7.93,5.21,7.25,2013
20150901201129,01081,Alabama,Lee County,10.41,5.0,7.25,2015
20160330092131,01081,Alabama,Lee County,10.41,5.0,7.25,2016
20170310081059,01081,Alabama,Lee County,10.67,5.0,7.25,2017
20180721103551,01081,Alabama,Lee County,10.81,5.0,7.25,2018
20190209124824,01081,Alabama,Lee County,11.21,5.84,7.25,2019
20200813201952,01081,Alabama,Lee County,10.96,6.0,7.25,2020
20210118075058,01081,Alabama,Lee County,10.96,6.0,7.25,2021
20130529101537,01083,Alabama,Limestone County,8.64,5.21,7.25,2013
20150910135118,01083,Alabama,Limestone County,10.19,5.0,7.25,2015
20160831204728,01083,Alabama,Limestone County,10.13,5.0,7.25,2016
20170608163840,01083,Alabama,Limestone County,10.4,5.0,7.25,2017
